hsib1 hsib2 Probability
L1089 L0384 0.956
L1086 L1085 0.997
L1085 L0320 0.487
L1085 L0382 0.991
L1085 L0853 0.024
L1085 L2233 0.990
L1085 L0275 0.941
L0431 L1671 0.652
L1083 L1055 0.681
L1083 L0334 0.299
L1083 L0666 0.741
L1078 L1042 0.030
L1074 L1658 0.571
L1618 L0418 0.987
L1618 L0338 0.996
L1618 L1671 0.769
L1658 L1655 0.058
L1658 L1225 0.003
L1653 L0297 0.859
L1653 L1313 0.852
L1651 L0255 0.998
L1649 L0485 0.976
L1649 L1278 0.110
L1649 L1209 0.831
L1649 L0487 0.983
L1055 L0666 0.990
L1613 L1043 0.998
L1613 L0333 0.639
L1613 L2233 0.975
L1613 L0395 0.993
L1646 L1043 0.980
L1645 L1639 0.988
L1043 L2233 0.928
L1043 L0395 0.782
L1602 L0484 0.031
L1602 L0421 0.116
L1602 L0275 0.004
L1602 L0671 0.084
L0419 L0333 0.973
L0419 L0672 0.871
L0418 L0371 0.969
L0414 L0343 0.973
L0414 L0368 0.795
L0412 L1111 0.393
L1593 L0316 0.973
L1593 L1268 0.989
L1639 L1071 0.716
